Name,Glycan Structure
G02436JN,G02436JN
G02438LG,G02438LG
G02441OB,G02441OB
G02442MH,G02442MH
G02442YU,G02442YU
G02447BS,G02447BS
G02451HK,G02451HK
G02456AL,G02456AL
G02460JI,G02460JI
G02463PA,G02463PA
G02470WS,G02470WS
G02470YL,G02470YL
G02471GW,G02471GW
G02473HY,G02473HY
G02474FD,G02474FD
G02482JV,G02482JV
G02483WT,G02483WT
G02489BO,G02489BO
G02494HC,G02494HC
G02497EU,G02497EU
G02497GP,G02497GP
G02498GC,G02498GC
G02519WY,G02519WY
G02522GH,G02522GH
G02522JF,G02522JF
G02526NN,G02526NN
G02527CE,G02527CE
G02528FI,G02528FI
G02533LL,G02533LL
G02534MS,G02534MS
G02539TH,G02539TH
G02541EM,G02541EM
G02552IR,G02552IR
G02553IV,G02553IV
G02556BT,G02556BT
G02558LA,G02558LA
G02559YM,G02559YM
G02561FC,G02561FC
G02562EQ,G02562EQ
G02562NB,G02562NB
G02568AU,G02568AU
G02571ID,G02571ID
G02581SF,G02581SF
G02582JY,G02582JY
G02586QB,G02586QB
G02594LL,G02594LL
G02594WS,G02594WS
G02595UE,G02595UE
G02597KH,G02597KH
G02600QJ,G02600QJ
G02611WU,G02611WU
G02612GE,G02612GE
G02618MZ,G02618MZ
G02620FP,G02620FP
G02622IU,G02622IU
G02622JG,G02622JG
G02624IW,G02624IW
G02625OQ,G02625OQ
G02625SJ,G02625SJ
G02625YC,G02625YC
G02628JF,G02628JF
G02630BJ,G02630BJ
G02631NI,G02631NI
G02633ON,G02633ON
G02635WB,G02635WB
G02644GE,G02644GE
G02646YL,G02646YL
G02649DA,G02649DA
G02653CW,G02653CW
G02654ED,G02654ED
G02654EL,G02654EL
G02657AK,G02657AK
G02657BS,G02657BS
G02660HR,G02660HR
G02660IC,G02660IC
G02660UC,G02660UC
G02660WC,G02660WC
G02661MY,G02661MY
G02666WC,G02666WC
G02672SI,G02672SI
G02679YX,G02679YX
G02684WR,G02684WR
G02691LI,G02691LI
G02692WD,G02692WD
G02698RR,G02698RR
G02699DW,G02699DW
G02710ET,G02710ET
G02718AK,G02718AK
G02725GF,G02725GF
G02726PL,G02726PL
G02727WK,G02727WK
G02729OV,G02729OV
G02735TD,G02735TD
G02747VH,G02747VH
G02752WS,G02752WS
G02753DE,G02753DE
G02760XH,G02760XH
G02763QD,G02763QD
G02767UB,G02767UB
G02776IS,G02776IS
G02776UX,G02776UX
G02783FI,G02783FI
G02783UF,G02783UF
G02786XX,G02786XX
G02791WJ,G02791WJ
G02799CL,G02799CL
G02804WX,G02804WX
G02807LM,G02807LM
G02809YH,G02809YH
G02811DV,G02811DV
G02815KT,G02815KT
G02815PP,G02815PP
G02816CI,G02816CI
G02819MW,G02819MW
G02820IE,G02820IE
G02826HN,G02826HN
G02830TY,G02830TY
G02830XV,G02830XV
G02833LW,G02833LW
G02837JA,G02837JA
G02844SX,G02844SX
G02849EL,G02849EL
G02856QE,G02856QE
G02860WV,G02860WV
G02874BD,G02874BD
G02876KU,G02876KU
G02878SQ,G02878SQ
G02880JU,G02880JU
G02881YH,G02881YH
G02882GQ,G02882GQ
G02882XF,G02882XF
G02886BB,G02886BB
G02889TC,G02889TC
G02889ZJ,G02889ZJ
G02890GO,G02890GO
G02890GX,G02890GX
G02891NH,G02891NH
G02901XS,G02901XS
G02906NO,G02906NO
G02910KB,G02910KB
G02913ED,G02913ED
G02915JP,G02915JP
